City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Lukulu,ZM,79.25,clear sky,-14.3707,23.242,Ruth Guest House
108,Ahipara,NZ,52.95,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
109,Tambun,ID,82.44,clear sky,-6.2641,107.0712,@HOM Premiere Tambun
110,Nikolskoye,RU,62.49,light rain,59.7035,30.7861,Tourist House - Sablino
111,Cascais,PT,78.66,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
113,Raudeberg,NO,73.18,overcast clouds,61.9875,5.1352,Nordre Silda.
114,Hachinohe,JP,74.7,broken clouds,40.5,141.5,Hachinohe Grand Hotel
115,Marienburg,PL,72.9,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
116,Asau,RO,81.75,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
117,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
119,Bengkulu,ID,77.11,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
120,Ostersund,SE,68.45,few clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
121,Kununurra,AU,55.38,few clouds,-15.7667,128.7333,Hotel Kununurra
122,Winnemucca,US,72.1,clear sky,40.973,-117.7357,Winners Inn Casino
126,Capim Grosso,BR,75.74,broken clouds,-11.3811,-40.0128,Hotel Veloso
129,Kahului,US,73.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
130,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
131,Khandyga,RU,54.95,clear sky,62.6667,135.6,Apel'sin
134,Pinsk,BY,69.66,scattered clouds,52.1229,26.0951,Smart Business Hotel
135,Aptos,US,70.74,mist,36.9772,-121.8994,Seascape Beach Resort
136,Broome,US,83.7,overcast clouds,42.2506,-75.833,Chenango Valley State Park
137,Torbay,CA,77.77,broken clouds,47.6666,-52.7314,Gallows Cove
138,Hanzhong,CN,68.95,light rain,33.0728,107.0303,Guorui Hotel
139,Zhigansk,RU,61.09,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
141,Narsaq,GL,53.82,light rain,60.9167,-46.05,Narsaq Kayak Hostel
142,Buala,SB,78.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
143,Chuy,UY,68.65,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
145,Lebu,CL,51.35,few clouds,-37.6167,-73.65,Hostal Las Lilas
146,Geraldton,AU,66.61,light intensity drizzle,-28.7667,114.6,Broadwater Mariner Resort
147,Tual,ID,80.49,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
148,Faanui,PF,77.88,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
149,Butaritari,KI,81.91,few clouds,3.0707,172.7902,Isles Sunset Lodge
150,Tautira,PF,71.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
151,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
157,Margate,GB,65.75,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
160,Hopkinsville,US,83.32,clear sky,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
162,Ewa Beach,US,76.95,clear sky,21.3156,-158.0072,Uncle Junior Robert
166,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
167,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
