City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Talnakh,RU,2021-08-06 21:38:14,69.4865,88.3972,64.9,45,17,1.34
69,Ankazoabo,MG,2021-08-06 21:38:15,-22.2833,44.5167,61.2,65,0,5.57
70,Buala,SB,2021-08-06 21:38:15,-8.145,159.5921,81.37,71,33,10.0
71,Nhulunbuy,AU,2021-08-06 21:38:16,-12.2333,136.7667,74.01,78,75,12.66
72,Atar,MR,2021-08-06 21:38:16,20.5169,-13.0499,93.94,27,12,8.43
73,Tasiilaq,GL,2021-08-06 21:38:16,65.6145,-37.6368,44.76,87,100,2.77
74,Vila Franca Do Campo,PT,2021-08-06 21:38:17,37.7167,-25.4333,72.01,73,41,12.55
75,Pisco,PE,2021-08-06 21:38:17,-13.7,-76.2167,66.25,68,0,13.8
76,Punta Arenas,CL,2021-08-06 21:38:17,-53.15,-70.9167,35.71,69,40,28.77
77,Severo-Kurilsk,RU,2021-08-06 21:38:18,50.6789,156.125,55.09,77,100,6.69
78,Kadhan,PK,2021-08-06 21:38:18,24.481,68.9859,82.54,72,100,12.62
79,Bathsheba,BB,2021-08-06 21:38:18,13.2167,-59.5167,84.81,70,40,14.97
80,Saldanha,ZA,2021-08-06 21:38:19,-33.0117,17.9442,51.85,81,1,3.51
81,Udachnyy,RU,2021-08-06 21:38:19,66.4167,112.4,53.6,59,96,15.66
82,Warri,NG,2021-08-06 21:38:19,5.5167,5.75,75.16,91,100,3.94
83,Sao Joao Da Barra,BR,2021-08-06 21:38:19,-21.6403,-41.0511,68.09,70,100,8.81
84,Bonavista,CA,2021-08-06 21:38:20,48.6499,-53.1147,77.0,81,8,20.8
85,Hermanus,ZA,2021-08-06 21:38:21,-34.4187,19.2345,54.9,87,0,6.22
86,Hasaki,JP,2021-08-06 21:36:01,35.7333,140.8333,79.29,87,50,7.72
87,Cape Town,ZA,2021-08-06 21:35:30,-33.9258,18.4232,55.11,89,90,3.44
88,Mahebourg,MU,2021-08-06 21:38:21,-20.4081,57.7,70.09,68,75,14.97
89,La Ronge,CA,2021-08-06 21:38:21,55.1001,-105.2842,73.62,64,40,11.5
90,Salinas,US,2021-08-06 21:33:27,36.6777,-121.6555,97.02,56,1,6.91
91,Huilong,CN,2021-08-06 21:38:22,31.8111,121.655,83.03,82,11,8.55
92,Inirida,CO,2021-08-06 21:38:22,3.8653,-67.9239,76.62,93,69,2.68
93,Bredasdorp,ZA,2021-08-06 21:34:13,-34.5322,20.0403,54.72,94,0,2.3
94,Alofi,NU,2021-08-06 21:38:23,-19.0595,-169.9187,78.69,69,14,4.61
95,Atuona,PF,2021-08-06 21:38:23,-9.8,-139.0333,78.26,77,17,18.12
96,Touros,BR,2021-08-06 21:38:23,-5.1989,-35.4608,79.7,64,100,17.94
97,Bac Lieu,VN,2021-08-06 21:38:24,9.285,105.7244,79.39,86,76,8.59
98,Acapulco,MX,2021-08-06 21:38:24,16.8634,-99.8901,85.82,70,90,4.61
99,Cockburn Town,TC,2021-08-06 21:38:25,21.4612,-71.1419,85.96,66,40,9.22
100,Tahoua,NE,2021-08-06 21:38:25,14.8888,5.2692,90.75,44,47,10.56
101,Port Lincoln,AU,2021-08-06 21:38:25,-34.7333,135.8667,55.09,71,100,4.14
102,Nikolskoye,RU,2021-08-06 21:38:25,59.7035,30.7861,62.4,90,95,9.1
103,Ilulissat,GL,2021-08-06 21:38:26,69.2167,-51.1,44.62,70,75,2.3
104,Hithadhoo,MV,2021-08-06 21:38:26,-0.6,73.0833,79.99,72,100,1.32
105,Kirovskiy,RU,2021-08-06 21:38:27,45.0917,133.5136,71.98,94,100,0.36
106,Longonjo,AO,2021-08-06 21:38:27,-12.9067,15.2533,62.6,22,0,1.01
107,Namatanai,PG,2021-08-06 21:38:27,-3.6667,152.4333,81.07,77,75,7.72
108,Petrozavodsk,RU,2021-08-06 21:36:45,61.7849,34.3469,49.46,93,4,2.24
109,Thompson,CA,2021-08-06 21:36:35,55.7435,-97.8558,71.76,37,90,4.61
110,Kodiak,US,2021-08-06 21:38:28,57.79,-152.4072,56.71,88,90,6.91
111,Sabang,ID,2021-08-06 21:38:28,5.8933,95.3214,82.71,76,99,15.12
112,San Cristobal,VE,2021-08-06 21:38:28,7.7669,-72.225,87.98,75,30,5.55
113,Coihaique,CL,2021-08-06 21:38:29,-45.5752,-72.0662,40.95,70,75,5.75
114,Whyalla,AU,2021-08-06 21:38:29,-33.0333,137.5833,49.89,87,90,5.75
115,Koundara,GN,2021-08-06 21:38:29,12.4833,-13.3,73.92,96,100,5.28
116,Esperance,AU,2021-08-06 21:38:30,-33.8667,121.9,49.84,53,0,17.27
117,Dikson,RU,2021-08-06 21:38:30,73.5069,80.5464,48.49,86,100,10.36
118,Aykhal,RU,2021-08-06 21:38:30,66.0,111.5,50.54,65,87,14.16
119,Bryan,US,2021-08-06 21:38:31,30.6744,-96.37,91.47,62,90,5.75
120,Novikovo,RU,2021-08-06 21:38:31,51.1537,37.8879,75.61,46,49,12.41
121,Kyra,RU,2021-08-06 21:38:31,49.5776,111.9753,56.61,89,24,1.57
122,Okhotsk,RU,2021-08-06 21:38:32,59.3833,143.3,59.0,55,28,6.96
123,Koulikoro,ML,2021-08-06 21:38:32,14.0,-7.75,76.53,81,100,4.97
124,Dukat,RU,2021-08-06 21:38:32,62.55,155.55,43.93,91,100,5.21
125,Saskylakh,RU,2021-08-06 21:38:33,71.9167,114.0833,45.52,81,99,11.1
126,Comodoro Rivadavia,AR,2021-08-06 21:38:33,-45.8667,-67.5,55.26,30,40,17.27
127,Kang,BW,2021-08-06 21:38:33,-23.6752,22.7876,58.73,20,0,2.8
128,Vardo,NO,2021-08-06 21:38:34,70.3705,31.1107,58.75,84,71,10.63
129,Vychegodskiy,RU,2021-08-06 21:38:34,61.247,46.8984,48.97,83,88,4.47
130,Salalah,OM,2021-08-06 21:38:34,17.0151,54.0924,78.89,94,90,5.75
131,Shishou,CN,2021-08-06 21:38:35,29.7226,112.419,77.2,91,25,6.44
132,Urumqi,CN,2021-08-06 21:38:35,43.801,87.6005,70.75,40,25,2.24
133,Bundaberg,AU,2021-08-06 21:38:35,-24.85,152.35,58.21,72,28,4.0
134,Wageningen,NL,2021-08-06 21:38:35,51.9667,5.6667,64.09,86,90,8.05
135,Harbour Breton,CA,2021-08-06 21:38:36,47.4833,-55.7983,71.01,99,89,8.68
136,East London,ZA,2021-08-06 21:33:48,-33.0153,27.9116,61.18,75,75,6.82
137,Aleksinac,RS,2021-08-06 21:38:36,43.5417,21.7078,66.49,57,27,1.66
138,San Patricio,US,2021-08-06 21:38:36,28.017,-97.5169,91.29,54,78,12.68
139,Port Hardy,CA,2021-08-06 21:38:37,50.6996,-127.4199,57.38,94,90,4.61
140,Lavrentiya,RU,2021-08-06 21:38:37,65.5833,-171.0,45.05,76,100,11.72
141,Mocuba,MZ,2021-08-06 21:38:38,-16.8392,36.9856,64.33,94,0,2.28
