City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Georgetown,MY,5.4112,100.3354,84.88,81,20,0.0,few clouds
81,Castro,BR,-24.7911,-50.0119,64.98,63,98,7.85,overcast clouds
82,Kholtoson,RU,50.2981,103.3097,51.1,92,93,3.65,overcast clouds
83,Ilo,PE,-17.6394,-71.3375,59.86,77,90,4.61,overcast clouds
84,Balkanabat,TM,39.5108,54.3671,101.07,12,0,7.78,clear sky
85,Dikson,RU,73.5069,80.5464,49.64,70,13,9.71,few clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,9.22,overcast clouds
87,Hasaki,JP,35.7333,140.8333,79.2,88,100,11.07,moderate rain
88,West Wendover,US,40.7391,-114.0733,65.41,42,1,9.22,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,60,40,12.66,scattered clouds
90,Sheopur,IN,25.6667,76.7,82.13,83,100,2.44,moderate rain
91,Salyan,AZ,39.5936,48.9805,84.87,50,0,11.59,clear sky
92,Dubbo,AU,-32.25,148.6167,50.13,71,90,5.75,overcast clouds
93,Kodinar,IN,20.7903,70.7031,81.03,81,67,7.36,broken clouds
94,Vila,PT,42.0304,-8.1588,65.7,58,31,8.84,scattered clouds
95,Bima,ID,-8.4667,118.7167,74.23,91,57,3.24,broken clouds
96,San Jeronimo,PE,-11.9472,-75.2829,58.98,32,0,1.59,clear sky
97,Lavrentiya,RU,65.5833,-171.0,42.66,86,100,14.58,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,79.12,80,56,4.92,broken clouds
99,Yellowknife,CA,62.456,-114.3525,64.92,72,75,16.11,light rain
100,Husavik,IS,66.0449,-17.3389,58.91,66,77,8.03,broken clouds
101,Victoria,HK,22.2855,114.1577,84.18,88,100,1.01,overcast clouds
102,Hithadhoo,MV,-0.6,73.0833,82.44,67,100,4.47,moderate rain
103,El Salto,MX,20.3333,-104.5,69.39,85,93,2.1,overcast clouds
104,Gizo,SB,-8.103,156.8419,81.05,72,100,7.87,overcast clouds
105,Albina,SR,5.5,-54.05,83.95,73,70,2.82,broken clouds
106,Lukulu,ZM,-14.3707,23.242,79.25,11,0,5.19,clear sky
107,Podgornaya,RU,44.2031,43.4297,90.45,45,66,17.9,broken clouds
108,Ahipara,NZ,-35.1667,173.1667,52.95,86,36,7.61,scattered clouds
109,Tambun,ID,-6.2641,107.0712,82.44,78,2,5.75,clear sky
110,Nikolskoye,RU,59.7035,30.7861,62.49,99,100,7.76,light rain
111,Cascais,PT,38.6979,-9.4215,78.66,52,20,11.01,few clouds
112,Rafai,CF,4.95,23.9167,71.42,96,100,3.53,moderate rain
113,Raudeberg,NO,61.9875,5.1352,73.18,70,100,3.44,overcast clouds
114,Hachinohe,JP,40.5,141.5,74.7,88,78,3.83,broken clouds
115,Marienburg,PL,54.0359,19.0266,72.9,60,79,1.52,broken clouds
116,Asau,RO,46.4333,26.4,81.75,56,41,3.13,scattered clouds
117,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,81,8.99,broken clouds
118,Kayes,ML,14.0,-11.0,86.92,55,78,9.78,broken clouds
119,Bengkulu,ID,-3.8004,102.2655,77.11,89,18,3.53,light rain
120,Ostersund,SE,63.1792,14.6357,68.45,40,20,17.27,few clouds
121,Kununurra,AU,-15.7667,128.7333,55.38,71,21,0.0,few clouds
122,Winnemucca,US,40.973,-117.7357,72.1,24,1,3.44,clear sky
123,Hobart,AU,-42.8794,147.3294,38.05,85,33,5.01,scattered clouds
124,Cayenne,GF,4.9333,-52.3333,89.64,78,75,4.0,broken clouds
125,Kasongo-Lunda,CD,-6.4667,16.8167,95.45,10,52,3.91,broken clouds
126,Capim Grosso,BR,-11.3811,-40.0128,75.74,54,71,15.19,broken clouds
127,Surt,LY,31.2089,16.5887,85.59,65,0,15.32,clear sky
128,Taoudenni,ML,22.6783,-3.9836,116.29,7,7,8.68,clear sky
129,Kahului,US,20.8947,-156.47,73.42,73,1,12.66,clear sky
130,Saint George,US,37.1041,-113.5841,81.07,18,1,3.44,clear sky
131,Khandyga,RU,62.6667,135.6,54.95,61,5,4.09,clear sky
132,Kedougou,SN,12.5579,-12.1743,90.18,62,75,9.22,broken clouds
133,New Norfolk,AU,-42.7826,147.0587,37.71,82,52,2.77,broken clouds
134,Pinsk,BY,52.1229,26.0951,69.66,57,38,8.12,scattered clouds
135,Aptos,US,36.9772,-121.8994,70.74,78,90,0.0,mist
136,Broome,US,42.2506,-75.833,83.7,74,100,1.01,overcast clouds
137,Torbay,CA,47.6666,-52.7314,77.77,80,75,27.63,broken clouds
138,Hanzhong,CN,33.0728,107.0303,68.95,83,80,1.54,light rain
139,Zhigansk,RU,66.7697,123.3711,61.09,47,93,9.8,overcast clouds
140,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,91.0,45,32,3.29,scattered clouds
141,Narsaq,GL,60.9167,-46.05,53.82,75,100,4.54,light rain
142,Buala,SB,-8.145,159.5921,78.42,79,98,4.12,light rain
143,Chuy,UY,-33.6971,-53.4616,68.65,62,6,7.16,clear sky
144,Itarema,BR,-2.9248,-39.9167,90.82,43,18,17.36,few clouds
145,Lebu,CL,-37.6167,-73.65,51.35,65,19,17.16,few clouds
146,Geraldton,AU,-28.7667,114.6,66.61,88,75,16.11,light intensity drizzle
147,Tual,ID,-5.6667,132.75,80.49,79,96,20.45,overcast clouds
148,Faanui,PF,-16.4833,-151.75,77.88,69,87,10.07,overcast clouds
149,Butaritari,KI,3.0707,172.7902,81.91,71,20,12.88,few clouds
150,Tautira,PF,-17.7333,-149.15,71.62,76,38,5.91,scattered clouds
151,Kodiak,US,57.79,-152.4072,53.11,94,90,0.0,overcast clouds
152,Bluff,NZ,-46.6,168.3333,34.81,65,100,6.44,overcast clouds
153,Puerto Quijarro,BO,-17.7833,-57.7667,96.84,18,0,7.4,clear sky
